Durchflussarmatur,Artikelnummer,Artikelbezeichnung,Menge Statisch,Menge Formel,ET-HVB,ET-Sonden,DFM-HVB
IMI STAD A 25,2001267.0,Durchflussarmatur - Strangregulierventil DN 25 - IMI,,,,,
IMI STAD A 25,2000047.0,"Übergangsstutzen Überwurfmutter PE100 DA 32 x 1 1/4""",,=1,,DA 32,
IMI STAD A 25,2000049.0,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/4""",1.0,=1,,DA 40,
IMI STAD A 25,2000766.0,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/4""",,=1,,DA 50,
,,,,,,,
,,,,,,,
,,,,,,,
IMI STAD A 32,2001272.0,Durchflussarmatur - Strangregulierventil DN 32 - IMI,,,,,
IMI STAD A 32,2000765.0,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/2""",1.0,=1,,DA 40,
IMI STAD A 32,2000051.0,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/2""",,=1,,DA 50,
,,,,,,,
,,,,,,,
IMI TA-Compact P 25,2001738.0,Durchflussarmatur - Druckunabhängiges Regelventil - DN 25 - IMI,,,,,
IMI TA-Compact P 25,2000047.0,"Übergangsstutzen Überwurfmutter PE100 DA 32 x 1 1/4""",,=1,,DA 32,
IMI TA-Compact P 25,2000049.0,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/4""",1.0,=1,,DA 40,
IMI TA-Compact P 25,2000766.0,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/4""",,=1,,DA 50,
