nummer;name_de;menge;stuecklistevonartikel
2000782;GN R Kompakt;1;TBD
2000491;Rohr - PE 100-RC - 63;2;TBD
DFM-5-42;Plastic Flowmeter 5-42 l/min;4;TBD
2001167;Secondary component;8;TBD
2001179;HVB 63mm specific;4;TBD
2001178;Probe 32mm specific;4;TBD
2000552;Sondenverschlusskappe DA 32;8;TBD
2001576;StumpfschweiÃŸ-Endkappe DA 63 - kurz;1;TBD
2000815;Absperrventil Kunststoff - Kugelhahn DA 32 mm PE Stutzen - Einlegeteil;2;TBD
