Durchflussarmatur,Artikelnummer,Artikelbezeichnung,Menge Statisch,Menge Formel,ET-HVB,ET-Sonden,DFM-HVB
HC VTR 40,2000765,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/2""",,=sondenanzahl,DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 40,
IMI STAD A 20,2001596,Durchflussarmatur - Strangregulierventil DN 20 - IMI,,=sondenanzahl,,,
IMI STAD A 20,2000045,"Übergangsstutzen Überwurfmutter PE100 DA 25 x 1""",,=sondenanzahl,,DA 25,
IMI STAD A 20,2000048,"Übergangsstutzen Überwurfmutter PE100 DA 32 x 1""",,=sondenanzahl,DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 32,
IMI STAD A 20,2000050,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1""",,=sondenanzahl,DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 40|DA50,
IMI STAD A 20,8000415,Heizdorn-Reduktion DA 50 / 32,,=sondenanzahl,,DA 50,
IMI STAD A 25,2001267,Durchflussarmatur - Strangregulierventil DN 25 - IMI,,,,,
IMI STAD A 25,2000047,"Übergangsstutzen Überwurfmutter PE100 DA 32 x 1 1/4""",,=sondenanzahl,,DA 32,
IMI STAD A 25,2000766,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/4""",,=sondenanzahl,,DA 50,
IMI STAD A 25,2000049,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/4""",,=sondenanzahl,DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 40,
IMI STAD A 32,2001272,Durchflussarmatur - Strangregulierventil DN 32 - IMI,,,,,
IMI STAD A 32,2000051,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/2""",,=sondenanzahl,,DA 50,
IMI STAD A 32,2000765,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/2""",,=sondenanzahl,DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 40,
IMI TA-Compact P 25,2001738,Durchflussarmatur - Druckunabhängiges Regelventil - DN 25 - IMI,,,,,
IMI TA-Compact P 25,2000047,"Übergangsstutzen Überwurfmutter PE100 DA 32 x 1 1/4""",,=sondenanzahl,,DA 32,
IMI TA-Compact P 25,2000766,"Übergangsstutzen Überwurfmutter PE100 DA 50 x 1 1/4""",,=sondenanzahl,,DA 50,
IMI TA-Compact P 25,2000049,"Übergangsstutzen Überwurfmutter PE100 DA 40 x 1 1/4""",,=sondenanzahl,DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 40,
